latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
37.29844,-80.00775,Florence Sep 2018,Other (Note in Description box),VP: > 0.40 ft,NAVD88,Level Gun,,Not marked,Static-GNSS,NAD83,Amanda Hodges,Amanda Hodges,VAROA26875,"PETERS CREEK AT ROUTE 117 AT ROANOKE, VA",,,VA,Roanoke City,,No,37.29844,-80.00775,33496,Peters Creek,26875,283,9,5,"Washline, 5ft downstream of wingwall. hard to tell if the line is from the previous event on 9/12",9/18/2018 04:00,1002.34,2,2,Right,,8,,2,,,Riverine,9/18/2018 04:00,0,2,821,821,0.001,1,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.69972,-78.93694,Florence Sep 2018,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17781,"UNNAMED TRIB TO AIW @ US 17, NR FOREST BROOK SC",,South Atlantic,SC,Horry County,,No,33.69972,-78.93694,33497,Unnamed Trib,17781,283,5,2,Seed line on wall 3 feet upstream of storm surge bracket.,9/20/2018 04:00,3.84,2,6,N/A,,4,0,3,,,Coastal,9/17/2018 04:00,0,2,1381,1381,0.066,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.75861,-78.79278,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17780,"SINGLETON  SWASH,END OF SHORE DR, BRIARCLIFFACRES, SC",,South Atlantic,SC,Horry County,,No,33.75861,-78.79278,33498,Singleton Swash,17780,283,2,3,Debris line in parking lot at Sands Beach CLub,9/20/2018 04:00,4.83,2,6,N/A,,,0,3,,,Coastal,9/17/2018 04:00,0,2,1381,1381,0.046,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.64138889,-78.94777778,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14335,Swash at Pirateland Campground at US 17 in Horry County,,South Atlantic,SC,Horry County,,Yes,33.64138889,-78.94777778,33499,Unnamed swash,14335,283,2,3,Debris line downstream of bracket.,9/20/2018 04:00,6.36,2,6,N/A,,,0,3,,,Coastal,9/17/2018 04:00,0,2,1381,1381,0.066,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.6025,-78.97388889,Florence Sep 2018,Other (Note in Description box),Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14328,"SURFSIDE BEACH AT 3RD AVENUE SOUTH SWASH,SC",,South Atlantic,SC,Horry County,,Yes,33.6025,-78.97388889,33500,Surfside Beach Swash,14328,283,9,3,Cut/wash line in sand.,9/20/2018 04:00,5.02,2,6,N/A,,7,0,3,,,Coastal,9/17/2018 04:00,0,2,1381,1381,0.043,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
33.57972222,-79.00333333,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Tape,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14327,"AIW at Atlantic Ave. near Garden City, SC",,South Atlantic,SC,Horry County,,Yes,33.57972222,-79.00333333,33501,AIW,14327,283,2,3,Large debris line on opposite bank from bracket near restaurant.,9/20/2018 04:00,4.26,2,6,N/A,,2,0,3,,,Coastal,9/17/2018 04:00,0,2,1381,1381,0.006,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.341981,-78.041385,Florence Sep 2018,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Gerard Gonthier,NCWAY18746,416 CROOM DR GOLDSBORO NC. FRONT PORCH OF RESIDENCE.,,,NC,Wayne County,,No,35.341981,-78.041385,33502,NEUSERIVER TRIB,18746,283,5,1,,9/26/2018 04:00,73.1,2,6,N/A,,,0.57,3,,Level II survey,Riverine,9/21/2018 04:00,0,4,6,1919,0.02,,HWM01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.378963,-78.010596,Florence Sep 2018,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Anthony Gotvald,NCWAY18748,PAVILION BEAM IN H.V. BROWN PARK. BETWEEN PLAYGROUND AND BASKETBALL COURTS.,,,NC,Wayne County,,No,35.378963,-78.010596,33503,NEUSE,18748,283,5,3,mark on back corner post of picnic pavilion #2,9/23/2018 04:00,73.15,2,6,N/A,18051,6,0.83,3,,Level II Survey,Riverine,9/20/2018 04:00,0,4,6,6,0.024,,HWM01,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.197056,-78.9657032,Florence Sep 2018,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Phone/Car GPS,NAD83,Cristal Younker,,NCCUM26901,Spring Lake Wastewater Treatment Plant,,,NC,Cumberland County,,No,35.197056,-78.9657032,33504,Little River,26901,283,5,1,"Seedline on interior of equipment shed, leveled out to right side of door threshold. Line is marked in sharpie with yellow paint identifying mark and date.",,,,,N/A,,4,6.02,3,,,Riverine,9/20/2018 04:00,0,2,1715,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
35.216713,-78.936128,Florence Sep 2018,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Paul Ankcorn,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCCUM18704,Excellent seedline on bridge abutment at Little River crossing at McCormick Bridge Rd in Spring Lake NC. Marked with concrete lag and metal USGS survey disc.,,,NC,Cumberland County,,No,35.21712,-78.93723,33505,Little River,18704,283,2,4,Debris line on pine tree located 450 feet SE of right bridge abutment on REW,9/23/2018 04:00,139.3,2,6,Right,18073,6,8.06,3,,Level II Survey,Riverine,9/20/2018 04:00,0,2,1715,873,0.2,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
